ICAO,Name
BGAA,Aasiaat
BGAG,Aappilattoq
BGAK,Akunaq
BGAM,Angmagssalik
BGAP,Alluitsup paa\sydproven
BGAQ,Aappilattoq/Nanortalik
BGAR,Arsuk
BGAS,Angissoq
BGAT,Aputiteq
BGBW,Narssarssuaq
BGCH,Christianshab
BGCO,Nerlerit inaat constable pynt
BGDB,Daneborg
BGDH,Danmarkshavn
BGDU,Dundas
BGEM,Egedesminde
BGET,Eqalugaarsuit
BGFD,Frederiksdal
BGFH,Frederikshab
BGGD,Gronnedal
BGGH,Godthab
BGGL,Sondrestrom (Fic)
BGGN,Godhavn
BGHB,Holsteinsborg
BGIK,Ikerassaarsuk
BGIL,Ilimanaq
BGIS,Isortoq
BGIT,Ivigtut
BGJH,Julianehab
BGJN,Jakobshavn
BGKA,Kangaatsiaq
BGKD,Kap dan
BGKK,Kulusuk
BGKL,Upernavik kujalleq
BGKM,Kungmiut
BGKQ,Kullorsuaq/Djaevlens Tommelfinger
BGKS,Kangersuatsiaq
BGKT,Kap tobin
BGLL,Illorsuit
BGMI,Danish Met.Inst./Nord
BGMO,Moriussaq
BGMQ,Maniitsoq
BGMV,Mesters vig
BGNK,Niaqornaarsuq
BGNN,Nanortalik
BGNQ,Nuugaatsiaq
BGNS,Narssaq
BGNT,Niaqornat
BGNU,Nuussuaq/Kraulshavn
BGOS,Orssuiorssuaq
BGPC,Prins christian sund
BGQA,Qaanaaq
BGQK,Kullorsuaq/Djaevlens Tommelfinger
BGQQ,Qaanaaq
BGRS,Ravns storo
BGSC,Scoresbysund
BGSF,Sondre stromfjord
BGSG,Sermiligaq
BGSI,Siorapaluk
BGSQ,Saqqaq
BGSS,Sisimiut
BGST,Sukkertoppen
BGSV,Savissivik
BGTA,Tasiusaq
BGTL,Thule ab
BGTM,Tingmiarmiut
BGTN,Tiniteqilaq
BGUK,Upernavik
BGUM,Umanak
BGUP,Upernavik
BGUQ,Uummannaq/Qaarsut
EKFA,Frodba (Faroe Islands)
EKKV,Klaksvik (Faroe Islands)
EKMS,Mykines (Faroe Islands)
EKSY,Skuvoy (Faroe Islands)
EKTB,Torshavn/Bodanes (Faroe Islands)
EKVG,Vagar, Faroe Is.
LFVP,Saint-Pierre, Saint-Pierre-Et Miquelon
NLWF,Futuna/Pointe Vele
NLWW,Wallis/Hififo
NTAA,Tahiti/Faaa, Archipel De La Societe
NTAR,Rurutu,Archipel Des Australes
NTAT,Tubuai/Mataura,Archipel Des Australes
NTGA,Anaa, Archipel Des Tuamotu
NTGB,Fangatau,Archipel Des Tuamotu
NTGC,Tikehau,Archipel Des Tuamotu
NTGD,Apataki,Archipel Des Tuamotu
NTGE,Reao, Archipel Des Tuamotu
NTGF,Fakarava,Archipel Des Tuamotu
NTGG,Nengo-Nengo
NTGH,Hikueru,Archipel Des Tuamotu
NTGI,Manihi, Archipel Des Tuamotu
NTGJ,Totegegie, Archipel Des Tuamotu
NTGK,Kaukura,Archipel Des Tuamotu
NTGM,Makemo, Archipel Des Tuamotu
NTGN,Napuka, Archipel Des Tuamotu
NTGO,Tatakoto, Archipel Des Tuamotu
NTGP,Puka Puka, Archipel Des Tuamotu
NTGQ,Pukarua,Archipel Des Tuamotu
NTGR,Aratica-Perles
NTGT,Takapoto, Archipel Des Tuamotu
NTGU,Arutua, Archipel Des Tuamotu
NTGV,Mataiva,Archipel Des Tuamotu
NTGW,Nukutavake, Archipel Des Tuamotu
NTGY,Tureia,Archipel Des Tuamotu
NTHE,Ahe
NTKF,Faaite
NTKH,Fakahina,Archipel Des Tuamotu
NTKK,ARATIKA-NORD
NTKM,Takume
NTKR,Takaroa,Archipel Des Tuamotu
NTMD,Nuku Hiva, Archipel Des Marquises
NTMN,Hiva-Oa/Atuana, Archipel Des Marquises
NTMP,Ua Pou,Archipel Des Marquises
NTMU,Ua Huka, Archipel Des Marquises
NTTB,Bora Bora/Motu-Mute, Archipel De La Societe
NTTE,Tetiaroa, Archipel De La Societe
NTTG,Rangiroa, Archipel Des Tuamotu
NTTH,Huahine/Fare, Archipel De La Societe
NTTM,Moorea/Temae, Archipel De La Societe
NTTO,Hao, Archipel Des Tuamotu
NTTP,Maupiti, Archipel De La Societe
NTTR,Raiatea/Uturoa,Archipel De La Societe
NTTT,Tahiti fic
NTTX,Mururoa,Archipel Des Tuamotu
NTUV,Vahitahi,Archipel Des Tuamot U
NWBB,Noumea (Met)
NWCC,Noumea/La Tontouta (Met)
NWWA,Tiga, Ile Loyaute
NWWB,Bourail poe
NWWC,Ile Art/Wala, Iles Belep
NWWD,Kone
NWWE,Ile Des Pins/Moue
NWWF,Voh
NWWH,Houailou/Nesson
NWWK,Koumac
NWWL,Lifou/Wanaham, Iles Loyaute
NWWM,Noumea/Magenta
NWWN,Noumea (Dsac Ville)
NWWO,Ile Ouen/Edmond-Cane
NWWP,Poum (Malabu)
NWWQ,Mueo/Nickel
NWWR,Mare/La Roche, Iles Loyaute
NWWS,Plaine des lacs
NWWT,La foa ouatom
NWWU,Touho
NWWV,Ouvea/Ouloup, Iles Loyaute
NWWW,Noumea/La Tontouta
NWWX,Canala
NWWY,Ouaco/Paquiepe
TNCA,Oranjestad/Reina Beatrix, Aruba I.
TNCB,Kralendijk/Flamingo, Bonaire I.
TNCC,Willemstad/Hato,Curacao I.
TNCE,Oranjestad/F.D. Roosevelt, Saint Eustatius I.
TNCF,Curacao (Acc/Fic)
TNCM,Philipsburg/Prinses Juliana, Saint Maarten I.
TNCS,Saba/Yrausquin
