ICAO,NAME
FMCZ,Mayotte
FMEE,Reunion
FMEP,Reunion
GCFV,Canary Islands
GCMP,Canary Islands
GCGM,Canary Islands
GCHI,Canary Islands
GCHU,Canary Islands
GCLA,Canary Islands
GCLB,Canary Islands
GCLP,Canary Islands
GCRR,Canary Islands
GCTS,Canary Islands
GCXO,Canary Islands
LPAZ,Azores
LPCR,Azores
LPFL,Azores
LPGR,Azores
LPHR,Azores
LPLA,Azores
LPMA, Madeira
LPPD,Azores
LPPI,Azores
LPPS, Madeira
LPSJ,Azores
SOCA,French Guiana
SOOA,French Guiana
SOOG,French Guiana
SOOM,French Guiana
SOOR,French Guiana
SOOS,French Guiana
SOOY,French Guiana
TFFA,Guadeloupe
TFFB,Guadeloupe
TFFC,Guadeloupe
TFFF,Martinique
TFFG,Guadeloupe
TFFJ,Guadeloupe
TFFM,Guadeloupe
TFFR,Guadeloupe
TFFS,Guadeloupe
